transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
1,01/01/2023,07:06:11 AM,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
2,01/01/2023,07:08:56 AM,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
3,01/01/2023,07:14:04 AM,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
4,01/01/2023,07:20:24 AM,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
5,01/01/2023,07:22:41 AM,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
6,01/01/2023,07:22:41 AM,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone
7,01/01/2023,07:25:49 AM,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm
8,01/01/2023,07:33:34 AM,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
9,01/01/2023,07:39:13 AM,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
10,01/01/2023,07:39:34 AM,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
11,01/01/2023,07:43:05 AM,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
12,01/01/2023,07:44:35 AM,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
13,01/01/2023,07:45:51 AM,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg
14,01/01/2023,07:48:19 AM,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
15,01/01/2023,07:52:36 AM,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot
16,01/01/2023,07:59:58 AM,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
17,01/01/2023,07:59:58 AM,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone
18,01/01/2023,08:00:18 AM,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
19,01/01/2023,08:00:39 AM,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
20,01/01/2023,08:11:45 AM,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
21,01/01/2023,08:17:27 AM,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
22,01/01/2023,08:24:26 AM,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
23,01/01/2023,08:24:26 AM,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti
24,01/01/2023,08:29:38 AM,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
25,01/01/2023,08:31:23 AM,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
26,01/01/2023,08:33:08 AM,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
27,01/01/2023,08:33:08 AM,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
28,01/01/2023,08:35:03 AM,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
29,01/01/2023,08:35:03 AM,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant
30,01/01/2023,08:41:57 AM,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
31,01/01/2023,08:52:03 AM,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
32,01/01/2023,08:52:32 AM,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
33,01/01/2023,08:54:33 AM,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
34,01/01/2023,08:56:27 AM,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
35,01/01/2023,08:57:46 AM,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
36,01/01/2023,08:58:55 AM,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
37,01/01/2023,09:00:12 AM,1,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
38,01/01/2023,09:00:24 AM,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
39,01/01/2023,09:07:13 AM,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
40,01/01/2023,09:08:09 AM,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
41,01/01/2023,09:08:13 AM,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg
42,01/01/2023,09:10:30 AM,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
43,01/01/2023,09:10:30 AM,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone 
44,01/01/2023,09:11:06 AM,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
45,01/01/2023,09:11:06 AM,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone
46,01/01/2023,09:13:01 AM,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
47,01/01/2023,09:13:15 AM,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
48,01/01/2023,09:14:16 AM,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
49,01/01/2023,09:14:17 AM,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
50,01/01/2023,09:14:25 AM,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
51,01/01/2023,09:14:41 AM,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
52,01/01/2023,09:15:09 AM,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
53,01/01/2023,09:15:13 AM,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
